"","ID","item"
"236",1603,"Segundo Ciclo- CIENCIAS BASICAS"
"237",1603,"Segundo Ciclo- CIENCIAS BASICAS"
"238",1701,"Primer Ciclo- OTROS"
"239",1803,"Segundo Ciclo- OTROS"
"240",1901,"Primer Ciclo- CIENCIAS BASICAS"
"241",1901,"Primer Ciclo- OTROS"
"242",1401,"Primer Ciclo- CIENCAS DE INGENIERIA"
"243",1401,"Primer Ciclo- CIENCIAS BASICAS"
"244",1501,"Primer Ciclo- CIENCIAS BASICAS"
"245",1501,"Primer Ciclo- CIENCIAS BASICAS"
"246",1502,"Interciclo- CIENCIAS BASICAS"
"247",1502,"Interciclo- CIENCAS DE INGENIERIA"
"248",1503,"Segundo Ciclo- CIENCIAS BASICAS"
"249",1501,"Primer Ciclo- CIENCAS DE INGENIERIA"
"250",1601,"Primer Ciclo- CIENCIAS BASICAS"
"251",1601,"Primer Ciclo- CIENCIAS BASICAS"
"252",1602,"Interciclo- INGENIERIA APLICADA"
"253",1603,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"254",1701,"Primer Ciclo- CIENCIAS BASICAS"
"255",1701,"Primer Ciclo- OTROS"
"256",1901,"Primer Ciclo- PROFESIONAL"
"257",1801,"Primer Ciclo- CIENCIAS BASICAS"
"258",1803,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"259",1803,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"260",1901,"Primer Ciclo- CIENCIAS BASICAS"
"261",1602,"Interciclo- CIENCIAS BASICAS"
"262",1603,"Segundo Ciclo- CIENCIAS BASICAS"
"263",1603,"Segundo Ciclo- CIENCIAS BASICAS"
"264",1602,"Interciclo- CIENCAS DE INGENIERIA"
"265",1703,"Segundo Ciclo- CIENCIAS BASICAS"
"266",1803,"Segundo Ciclo- CIENCIAS BASICAS"
"267",1801,"Primer Ciclo- CIENCIAS BASICAS"
"268",1802,"Interciclo- CIENCIAS BASICAS"
"269",1803,"Segundo Ciclo- CIENCIAS BASICAS"
"270",1803,"Segundo Ciclo- CIENCIAS BASICAS"
"271",1803,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"272",1803,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"273",1803,"Segundo Ciclo- CIENCIAS BASICAS"
"274",1901,"Primer Ciclo- "
"275",1301,"Primer Ciclo- INGENIERIA APLICADA"
"276",1301,"Primer Ciclo- CIENCIAS BASICAS"
"277",1301,"Primer Ciclo- CIENCIAS BASICAS"
"278",1302,"Interciclo- CIENCIAS BASICAS"
"279",1401,"Primer Ciclo- CIENCIAS BASICAS"
"280",1403,"Segundo Ciclo- CIENCIAS BASICAS"
"281",1403,"Segundo Ciclo- INGENIERIA APLICADA"
"282",1603,"Segundo Ciclo- OTROS"
"283",1702,"Interciclo- CIENCIAS BASICAS"
"284",1703,"Segundo Ciclo- INGENIERIA APLICADA"
"285",1703,"Segundo Ciclo- OTROS"
"286",1803,"Segundo Ciclo- INGENIERIA APLICADA"
"287",1803,"Segundo Ciclo- CIENCIAS BASICAS"
"288",1901,"Primer Ciclo- CIENCIAS BASICAS"
"289",1901,"Primer Ciclo- "
"290",1501,"Primer Ciclo- CIENCAS DE INGENIERIA"
"291",1501,"Primer Ciclo- CIENCIAS BASICAS"
"292",1602,"Interciclo- "
"293",1602,"Interciclo- CIENCAS DE INGENIERIA"
"294",1603,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"295",1602,"Interciclo- CIENCIAS BASICAS"
"296",1901,"Primer Ciclo- CIENCAS DE INGENIERIA"
"297",1302,"Interciclo- CIENCAS DE INGENIERIA"
"298",1303,"Segundo Ciclo- CIENCIAS BASICAS"
"299",1403,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"300",1501,"Primer Ciclo- CIENCIAS BASICAS"
"301",1501,"Primer Ciclo- CIENCIAS BASICAS"
"302",1503,"Segundo Ciclo- CIENCIAS BASICAS"
"303",1503,"Segundo Ciclo- CIENCIAS BASICAS"
"304",1801,"Primer Ciclo- CIENCAS DE INGENIERIA"
"305",1803,"Segundo Ciclo- INGENIERIA APLICADA"
"306",1803,"Segundo Ciclo- CIENCIAS BASICAS"
"307",1703,"Segundo Ciclo- CIENCIAS BASICAS"
"308",1801,"Primer Ciclo- CIENCIAS BASICAS"
"309",1901,"Primer Ciclo- CIENCIAS BASICAS"
"310",1801,"Primer Ciclo- "
"311",1001,"Primer Ciclo- "
"312",1001,"Primer Ciclo- CIENCIAS BASICAS"
"313",1001,"Primer Ciclo- CIENCIAS BASICAS"
"314",1001,"Primer Ciclo- "
"315",1201,"Primer Ciclo- CIENCAS DE INGENIERIA"
"316",1203,"Segundo Ciclo- CIENCIAS BASICAS"
"317",1203,"Segundo Ciclo- CIENCIAS BASICAS"
"318",1203,"Segundo Ciclo- CIENCIAS BASICAS"
"319",1302,"Interciclo- OTROS"
"320",1303,"Segundo Ciclo- CIENCIAS BASICAS"
"321",1303,"Segundo Ciclo- INGENIERIA APLICADA"
"322",1401,"Primer Ciclo- INGENIERIA APLICADA"
"323",1401,"Primer Ciclo- INGENIERIA APLICADA"
"324",1403,"Segundo Ciclo- INGENIERIA APLICADA"
"325",1503,"Segundo Ciclo- CIENCIAS BASICAS"
"326",1603,"Segundo Ciclo- OTROS"
"327",1801,"Primer Ciclo- OTROS"
"328",1901,"Primer Ciclo- PROFESIONAL"
"329",1501,"Primer Ciclo- INGENIERIA APLICADA"
"330",1902,"Interciclo- CIENCAS DE INGENIERIA"
"331",1202,"Interciclo- "
"332",1403,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"333",1403,"Segundo Ciclo- CIENCIAS BASICAS"
"334",1503,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"335",901,"Primer Ciclo- CIENCIAS BASICAS"
"336",903,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"337",1001,"Primer Ciclo- CIENCIAS BASICAS"
"338",903,"Segundo Ciclo- CIENCIAS BASICAS"
"339",1103,"Segundo Ciclo- CIENCIAS BASICAS"
"340",1103,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"341",1201,"Primer Ciclo- CIENCIAS BASICAS"
"342",1201,"Primer Ciclo- OTROS"
"343",1301,"Primer Ciclo- INGENIERIA APLICADA"
"344",1203,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"345",1403,"Segundo Ciclo- INGENIERIA APLICADA"
"346",1403,"Segundo Ciclo- INGENIERIA APLICADA"
"347",1601,"Primer Ciclo- OTROS"
"348",1502,"Interciclo- INGENIERIA APLICADA"
"349",1601,"Primer Ciclo- INGENIERIA APLICADA"
"350",1702,"Interciclo- INGENIERIA APLICADA"
"351",1703,"Segundo Ciclo- INGENIERIA APLICADA"
"352",1801,"Primer Ciclo- CIENCIAS BASICAS"
"353",1802,"Interciclo- CIENCIAS BASICAS"
"354",1803,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"355",1901,"Primer Ciclo- CIENCIAS BASICAS"
"356",1901,"Primer Ciclo- "
"357",1803,"Segundo Ciclo- CIENCIAS BASICAS"
"358",1,"Primer Ciclo- CIENCIAS BASICAS"
"359",2,"Interciclo- CIENCAS DE INGENIERIA"
"360",2,"Interciclo- CIENCIAS BASICAS"
"361",3,"Segundo Ciclo- CIENCIAS BASICAS"
"362",3,"Segundo Ciclo- CIENCIAS BASICAS"
"363",3,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"364",6,"Primer Ciclo- CIENCAS DE INGENIERIA"
"365",6,"Primer Ciclo- CIENCIAS BASICAS"
"366",103,"Segundo Ciclo- CIENCIAS BASICAS"
"367",103,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"368",204,"Interciclo- CIENCIAS BASICAS"
"369",305,"Segundo Ciclo- "
"370",401,"Primer Ciclo- CIENCAS DE INGENIERIA"
"371",302,"Primer Ciclo- CIENCAS DE INGENIERIA"
"372",402,"Interciclo- CIENCAS DE INGENIERIA"
"373",402,"Interciclo- CIENCAS DE INGENIERIA"
"374",501,"Primer Ciclo- CIENCAS DE INGENIERIA"
"375",501,"Primer Ciclo- CIENCAS DE INGENIERIA"
"376",502,"Interciclo- CIENCAS DE INGENIERIA"
"377",503,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"378",503,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"379",503,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"380",601,"Primer Ciclo- INGENIERIA APLICADA"
"381",701,"Primer Ciclo- PROFESIONAL"
"382",801,"Primer Ciclo- PROFESIONAL"
"383",803,"Segundo Ciclo- PROFESIONAL"
"384",901,"Primer Ciclo- PROFESIONAL"
"385",901,"Primer Ciclo- PROFESIONAL"
"386",1301,"Primer Ciclo- INGENIERIA APLICADA"
"387",1803,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"388",1803,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"389",1901,"Primer Ciclo- CIENCIAS BASICAS"
"390",1902,"Interciclo- CIENCAS DE INGENIERIA"
"391",1701,"Primer Ciclo- CIENCIAS BASICAS"
"392",1701,"Primer Ciclo- CIENCIAS BASICAS"
"393",1702,"Interciclo- CIENCIAS BASICAS"
"394",1703,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"395",1801,"Primer Ciclo- "
"396",1801,"Primer Ciclo- CIENCIAS BASICAS"
"397",1803,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"398",1902,"Interciclo- CIENCAS DE INGENIERIA"
"399",1801,"Primer Ciclo- PROFESIONAL"
"400",1803,"Segundo Ciclo- CIENCIAS BASICAS"
"401",1902,"Interciclo- CIENCAS DE INGENIERIA"
"402",1602,"Interciclo- CIENCAS DE INGENIERIA"
"403",1701,"Primer Ciclo- CIENCIAS BASICAS"
"404",1702,"Interciclo- CIENCIAS BASICAS"
"405",1703,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"406",1803,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"407",1501,"Primer Ciclo- CIENCIAS BASICAS"
"408",1502,"Interciclo- CIENCAS DE INGENIERIA"
"409",1803,"Segundo Ciclo- CIENCIAS BASICAS"
"410",1803,"Segundo Ciclo- CIENCIAS BASICAS"
"411",1802,"Interciclo- CIENCAS DE INGENIERIA"
"412",1803,"Segundo Ciclo- CIENCIAS BASICAS"
"413",1501,"Primer Ciclo- "
"414",1502,"Interciclo- CIENCAS DE INGENIERIA"
"415",1503,"Segundo Ciclo- CIENCIAS BASICAS"
"416",1503,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"417",1503,"Segundo Ciclo- CIENCIAS BASICAS"
"418",1601,"Primer Ciclo- CIENCAS DE INGENIERIA"
"419",1602,"Interciclo- CIENCIAS BASICAS"
"420",1603,"Segundo Ciclo- "
"421",1603,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"422",1702,"Interciclo- INGENIERIA APLICADA"
"423",1703,"Segundo Ciclo- CIENCIAS BASICAS"
"424",1703,"Segundo Ciclo- CIENCIAS BASICAS"
"425",1801,"Primer Ciclo- PROFESIONAL"
"426",1801,"Primer Ciclo- CIENCIAS BASICAS"
"427",1801,"Primer Ciclo- CIENCAS DE INGENIERIA"
"428",1803,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"429",1803,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"430",1901,"Primer Ciclo- PROFESIONAL"
"431",1803,"Segundo Ciclo- CIENCIAS BASICAS"
"432",1803,"Segundo Ciclo- CIENCIAS BASICAS"
"433",1301,"Primer Ciclo- CIENCIAS BASICAS"
"434",1301,"Primer Ciclo- CIENCIAS BASICAS"
"435",1303,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"436",1402,"Interciclo- CIENCIAS BASICAS"
"437",1402,"Interciclo- CIENCIAS BASICAS"
"438",1403,"Segundo Ciclo- CIENCIAS BASICAS"
"439",1403,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"440",1501,"Primer Ciclo- CIENCIAS BASICAS"
"441",1503,"Segundo Ciclo- INGENIERIA APLICADA"
"442",1601,"Primer Ciclo- CIENCIAS BASICAS"
"443",1601,"Primer Ciclo- CIENCIAS BASICAS"
"444",1601,"Primer Ciclo- INGENIERIA APLICADA"
"445",1602,"Interciclo- INGENIERIA APLICADA"
"446",1603,"Segundo Ciclo- OTROS"
"447",1701,"Primer Ciclo- CIENCIAS BASICAS"
"448",1701,"Primer Ciclo- CIENCIAS BASICAS"
"449",1801,"Primer Ciclo- OTROS"
"450",1302,"Interciclo- CIENCAS DE INGENIERIA"
"451",1302,"Interciclo- CIENCIAS BASICAS"
"452",1303,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"453",1401,"Primer Ciclo- CIENCIAS BASICAS"
"454",1403,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"455",1501,"Primer Ciclo- INGENIERIA APLICADA"
"456",1503,"Segundo Ciclo- INGENIERIA APLICADA"
"457",1503,"Segundo Ciclo- INGENIERIA APLICADA"
"458",1601,"Primer Ciclo- "
"459",1803,"Segundo Ciclo- INGENIERIA APLICADA"
"460",1701,"Primer Ciclo- "
"461",1701,"Primer Ciclo- INGENIERIA APLICADA"
"462",1701,"Primer Ciclo- CIENCIAS BASICAS"
"463",1702,"Interciclo- CIENCAS DE INGENIERIA"
"464",1801,"Primer Ciclo- CIENCIAS BASICAS"
"465",1803,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"466",1803,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"467",1901,"Primer Ciclo- CIENCIAS BASICAS"
"468",1601,"Primer Ciclo- CIENCAS DE INGENIERIA"
"469",1601,"Primer Ciclo- CIENCIAS BASICAS"
"470",1603,"Segundo Ciclo- CIENCIAS BASICAS"
"471",1603,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"472",1702,"Interciclo- CIENCIAS BASICAS"
"473",1703,"Segundo Ciclo- CIENCIAS BASICAS"
"474",1703,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"475",1703,"Segundo Ciclo- CIENCIAS BASICAS"
"476",1801,"Primer Ciclo- CIENCIAS BASICAS"
"477",1803,"Segundo Ciclo- CIENCIAS BASICAS"
"478",1803,"Segundo Ciclo- PROFESIONAL"
"479",1701,"Primer Ciclo- CIENCIAS BASICAS"
"480",1801,"Primer Ciclo- "
"481",1901,"Primer Ciclo- CIENCIAS BASICAS"
